visionary ," xəyalpərəst,"
correctional ," islah, cəzalandırma,"
penalize ," cəzalandırmaq, to cause someone a disadvantage,"
commonplace ," adi,"
straightforward ," sadə,"
subdue ," bir şeyin mövcud olmasının və ya inkişaf etməsinin qarşısını almaq,"
inmate ," məhkum,"
cleanse ," təmizləmək,"
lavish ," təmtəraqlı, bol, dəbdəbəli,"
extravagant ," israfçı,"
prosecutor ," ittihamçı,"
overhear ," təsadüfən eşitmək,"
stallion ," at,"
look into ," araşdırmaq,"
gouge ," oymaq,"
socket ," yuva,"
behold ," baxmaq, görmək,"
refinement ," zəriflik,"
shackled ," qandallı, zəncirli,"
sack ," torba   a sack lunch,"
