Mosquito ," ağcaqanad,"
Casino ," qumarxana,"
Immediately ," dərhal,"
Busy ," hərəkətli, məşğul,"
Near ," yaxın,"
Quiet ," sakin,"
Waiter ," ofisiant,"
Unemployed ," işsiz,"
Order ," sifariş,"
Bill ," hesab, şot,"
Wine ," şərab,"
a jug of ... (water) ," bir banka ... (su),"
Closure ," qapanma,"
Might ," qüdrət,güc .  ola bilər,"
Drastic ," şiddətli,"
Ahead ," qabaqda,"
Straight ," düz,"
Pharmacy ," aptek,"
Sequence ," ardıcıllıq,"
Perspective ," perspektiv, baxış açısı,"
