ramification ," qol , budaq atmaq,"
screw ," bolt, şurup,"
deride ," lağ etmək,"
pliable ," üzüyumuşaq, yolayaxın,"
covert ," gizli,"
startling ," təəccüblü,"
emit ," yaymaq, saçmaq,"
unperturbed ," narahat olmayan,"
rebuff ,"  dözmək,"
aware ," farkında olmak,"
therefore ," buna görə, bunun üçün,"
contagion ," yoluxma, salgın,"
outbreak ," partlayış, çıxmaq,"
counsel ," nəsihət, tövsiyə,"
ensure ," təmin etmək,"
remote ," uzaq, ucqar,"
statue ," heykəl,"
misty ," dumanlı,"
suburb ," şəhər kənarı,"
cope with ," öhdəsindən gəlmək,"
