relieve ," azaltmaq,"
serene ," sakit,"
sever ," kəsmək,"
rotate ," döndərmək, fırlatmaq,"
involuntary ," qeyri,ixtiyarı,"
insensate ," hissiz, duyğusuz,"
emerge ," ortaya çıxmaq,"
proceed ," davam etmək,"
evaluation ," dəyərləndirmə,"
refreshment ," sərinlidici içki,"
falsify ," saxtalaşdırmaq, saxtakarlıq etmək,"
credential ," kimlik,"
stewardship ," idarəçilik,"
take over ," təhvil almaq,"
dazzle ," təsir etmək, heyran etmək,"
insipid ," yavan,"
discretion ," təmkinlilik, ehtiyat,"
paramount ," hər şeydən çox vacib,"
olfactory ," qoxu alma bacarığı,"
damp ," nəm, rütubət,"
