excessive ," həddindən artıq,"
occurred ," meydana gəldi,"
transfusing ," qan köçürmə,"
clump ," yığmaq,"
recipient ," alıcı,"
crucial ," həll edici,"
outlawed ," qanundan xaric etmək,"
vital ," həyati,"
disrupt ," pozmaq,"
latch out ," çıxartmaq,"
embedded ," əlaqədar,"
intruder ," içəri girən,"
distinguish ," fərqləndirmək,"
withdrew ," geri çəkildi,"
insert ," daxil etmək,"
hemorrhage ," qanaxma,"
regard ," münasibət,"
reflect ," əks etdirmək,"
represent ," təqdim etmək,"
involve ," əhatə etmək,"
