commuter ," səyyar işçi,"
commit ," törətmək işləmək,"
manslaughter ," adam öldürmək,"
bureaucracy ," bürokratiya,"
cunningly ," hiyləgərcəsinə,,"
friar ," keşiş,"
cloak ," pelerin,"
Triumphantly ," zəfərlə,"
gleeful ," şad,"
humble ," təvazökar,"
suspicious ," şübhəli,"
sake ," xatir,"
union ," birlik,"
thus ," beləliklə,"
convey ," çatdırmaq, daşımaq,"
adore ," pərəstiş etmək, dəlicəsinə sevmək,"
devoure ," yeyib qutarmaq, (acgözlüklə),"
persist ," davam etmək,"
indigestion ," həzmsizlik,"
inhale ," nəfəs almaq, hava almaq,"
