pole ," dirək,"
match ," uyğunluq,"
advance ," irəliləyiş,"
regret ," təəssüf,"
instance ," misal,"
associate ," əlaqələndirmək, partner,"
unite ," birləşmək,"
task ," tapşırıq,"
strike ," vurmaq,"
cheer ," şadlanmaq,"
pressure ," təzyiq,"
convince," persuade , inandırmaq,"
pouch ," çanta,"
digest ," həzm etmək,"
chuckle ," boğmaq,"
ambassador ," səfir,"
dormitory ," yataqxana,"
fizzy ," qazlı içki, qızdırıcı,"
assume," suppose  , fərz etmək, güman,"
gross ," kobud,"
