sledge ," xizək,"
in hope of ... ," ... ümidiylə,"
pale ," solğun,"
precious ," qiymətli,"
in the meantime ," bu vaxtda,"
peasant ," kəndli,"
confiscate ," müsadirə etmək,"
coal ," kömür,"
in advance ," əvvəlcədən,"
despair ," ümidsizlik,"
rush into ," tələsmək,"
acquaint ," tanış olmaq,"
decay ," çürümək,"
hesitate ," tərəddüd etmək,"
neglect ," etinasız yanaşmaq, məhəl qoymamaq,"
appetite ," iştah,"
conscience ," vicdan,"
verdict ," qərar,"
corruption ," rüşvətçilik,"
execute ," edam etmək,"
