Acces ," giriş,"
Accident ," qəza,"
by accident ," təsadüfən,"
Accidental ," təsadüfi,"
Accidentally ," təsadüfi olaraq,"
Accomodation ," qalma yeri, anlaşılmazlıq,"
Accompany ," yoldaşlıq etmək (yolda),"
According to  prep. ," ...a, ...ə görə,"
Account ," hesab, zənn etmək,"
Accurate. ," dəqiq,"
Accurately ," dəqiq olaraq,"
Accuse ," günahlandırmaq,"
Achieve ," nail olmaq,"
Achievement ," nailiyyət,"
Acid ," kimyəvi turşu,"
Acknowledge ," qəbul etmək,"
Acquire ," əldə etmək,"
Across ," qarşı tərəfə,"
Act ," hərəkətə keçmək,"
Action ," hərəkət, action movie,"
