auspicious ," xeyirli,"
trail ," iz,"
expell ," qovmaq,"
landlord ," kirayə verən,"
plot ," komplo,"
moisture ," nəm, rütubət,"
dense ," sıx, qatı  ex: dense fog,"
germ ," mikrob,"
scheme ," plan,"
slaughter ," qırğın, kəsim,"
strike ," tətil,"
dispute ," münaqişə,"
grant a rise ," maaş qaldırmaq,"
on the contrary ," əksinə,"
roam ," gəzmək, çöllərə düşmək,"
rioter ," üsyançı,"
faint ," huşunu itirmək,"
presently ," hal hazırda,"
straight away ," dərhal,,"
deck ," göyərtə,"
