Take action ," hərəkətə keçmək,"
Active ," fəal,"
Actively ,"fəal olaraq,"
Activity ," fəaliyyət,"
Actor," actress , aktyor, aktrisa,"
Actual ," əsl, həqiqi,"
Actually ," əslində,"
Advertisement ," reklam,"
Adapt ," uyğunlaşdırmaq,"
Add ," əlavə etmək,"
Addition ," əlavə,"
Voyage ," səfər, səyahət,"
Nearly ," az qalsın,"
Cost ," maliyyə,"
Sail ," yelkən,"
Pirates ," dəniz quldurları,"
Shore ," sahil,"
Settle ," yerləşmək,"
Shortcut ," qısa yol, kəsdirmə,"
Sailor ," dənizçi,"
