plate ," təbəqə,"
crust ," qabıq,"
hemisphere ," yarımkürə,"
memorize ," əzbərdən,"
respond ," cavablandırmaq, cavab vermək,"
sight ," görmə qabiliyyəti,"
amount ," miqdar,"
broom ," süpürgə,"
extinction ," tükənmə,"
renewable ," tükənməz,"
roof ," dam,"
entire ," bütün, tam,"
determined ," yaratmaq,"
fold up ," qatlamaq,"
carry ," daşımaq,"
royalty ," krallara məxsus,"
afford ," üstünlük vermək,"
against ," qarşı,"
ordinary ," object,"
fertilizer ," süni gübrə,"
