spur ," təkan, tələsdirmək,"
a sum of ," cəmi,"
remittance ," pul köçürmə, barat,"
scrap ," qırıq, kəsik,"
do away with," abolish , ortadan qaldırmaq, yox etmək,"
unmanned ," insansız,"
feline ," pişik,"
revulsion ," üsyan, nifrət hissi,"
unrelated ," əlaqəsiz,"
hasten ," tələsdirmək, sürətləndirmək,"
regardless ," nə olursa olsun,"
thoroughly ," yaxşıca, hərtərəfli,"
sedative ," sakitləşdirici,"
priority ," öncəlik,"
proceed ," davam etmək,"
angle ," bucaq,"
aqueous ," sulu,"
reputable ," nüfuzlu, möhtərəm,"
candidate ," namizəd,"
bargain ," sövdələşmə,"
