primarily ," əsasən,"
cultivate ," əkmək, yetişdirmək,"
roast(ed)  ," qızartmaq, (qızardılmış),"
shiny ," parıltılı,"
without hesitation ," tərəddüd etmədən,"
curious ," maraqlı, qəribə,"
vary ," fərqlənmək,"
overtime ," artıq iş vaxtı, mesai,"
duty ," vəzifə,"
appearance ," görünüş,"
deserted," desolate , ıssız, kimsəsi, (yer),"
outline ," sujet xətti,"
description ," açıqlama,"
sheet ," kağız lövhə,"
to wonder ," maraqlanmaq, merak etmek,"
grocery ," baqqal,"
excite ," həyəcanlanmaq,"
anxious ," narahat,"
eager ," istəkli,"
pace ," sürət, addım,"
